break into ~,〜へ(不法に)押し入る、急に〜し始める
break out,(災害･戦争などが)発生する、勃発する
bring about ~,(結果など)を招く、〜を引き起こす
bring down ~,〜を下げる、〜を落ち込ませる
bring up ~,〜を育てる
by means of ~,〜によって
by no means,決して〜でない
call off ~,〜を中止する
call on A,Aを訪ねる
care for ~,〜の世話をする、〜を好む
carry on ~,〜を続ける
（close[near]）at hand,手元に、近くに
come about,(予想外のことが)起こる、生じる
come to light,(秘密などが)明るみに出る
cope with ~,(難局･問題など)をうまく処理する
drop out,(競争から)脱落する、(活動･集団から)身を引く
enable A to do,Aが〜するのを可能にする、(主語によって)Aは〜できる
far from ~,決して〜でない、〜どころではない
for certain,確かに(は)
for good（and all）,永久に
for the time being,当分の間
get by,なんとかやっていく、通り抜ける
go off,(警報などが)鳴る
hang up,(電話)を切る
have ~ in common,共通して〜を待つ
have second thoughts,考え直す
head for ~,〜に向かう
hold up ~,(交通･生産など)を遅らせる、〜を持ち上げる
in comparison with [to]~,〜と比べると
in contrast（to ~）,(〜とは)対照的に
in detail,詳細に
in effect,事実上
in exchange for ~,〜と引き換えに
in favor of ~,〜に賛成して、〜のために
in order,順序正しく整理されて
in person,(電話･手紙などではなく)直接、じかに
in place of ~,〜の代わりに
in private,内緒で、誰もいないところで
in progress,進行中で［の］
in public,人前で、公然と
in relation to ~,〜に関して
in shape,体調が良くて
in short,手短に言えば、要するに
in the face of ~,〜に直面して、〜にもかかわらず
in the first place,そもそも、まず初めに
in the meantime,その間に
in use,使われて
（It is）no wonder（that）…,･･･は全く不思議ではない
keep [bear] ~in mind,〜を心に留める
keep in touch [contact] with ~,〜と連絡［接触］を保つ
keep off ~,〜に近寄らない、〜を避ける
keep track of ~,〜を見失わないようにする、(人の動向など)に注意している
lay off ~,〜を一時的に解雇する
leave A alone,Aを放っておく
live up to ~,(期待など)に応える、〜に従って生きる［行動する］
long for ~,〜に思い焦がれる、〜を熱望する
look down on [upon] ~,〜を見下す
look into ~,〜を調べる、〜をのぞき込む
major in ~,〜を専攻する
make an appointment,(人と会う)約束をする
make fun of ~,〜をからかう
make one’s way,前進する、成功する
make sense,道理にかなう、意味が通じる
make up one’s mind,決心する、判断を下す
make use of ~,〜を利用［活用］する
none of one’s business,〜には関係ない
not to mention ~,〜は言うまでもなく
on one’s own,独力で、一人で
on the condition that …,･･･という条件で、もし･･･なら
on the contrary,それどころか、それと逆に
on the whole,全体的に見て、概して
one （~）after another,(〜を)次々と、一つずつ
one by one,一つずつ、順番に
out of control,制御しきれなくなって
owing to ~,〜のために、〜の理由で
pass away,(人が)亡くなる、過ぎ去る
prohibit A from doing,Aが〜するのを禁止する
provided that …,もし･･･なら、･･･という条件で
pull off ~,〜をやってのける、〜を引っ張って取る
put an end to ~,〜を終わらせる
put aside ~,〜を脇においておく、(問題など)を考えないことにする
put away ~,〜を片付ける
put ~ into [in] practice,〜を実行する
put off ~,〜を延期する
put up with ~,〜を我慢する
remind A of B,AにBを思い起こさせる
run through ~,〜をざっとおさらいする
settle down,身を固める、落ち着く
shake hands,握手する
show off ~,〜を見せびらかす
show up（~）,姿を見せる、現れる、〜を目立たせる
sit up,(寝ないで)起きている
sooner or later,遅かれ早かれ
speak up,もっと大きな声で話す、はっきりと意見を述べる
stand by（~）,待機する、〜を支援する
stand out,目立つ
sum up ~,〜を要約する、〜を合計する
take advantage of ~,(機会･状況など)を利用する、〜につけ込む
take one’s place,〜の代理を務める
take over ~,(職･責任など)を引き継ぐ、〜を支配する
tell [distinguish] A from B,AをBと見分ける
There is no doing,〜することはできない
think over ~,〜をじっくり考える
to some [a certain] extent,ある程度まで
to the point,的を射た
try out ~,〜を試験する、〜の効果を試す
turn away ~,(顔･目など)をそらす
turn up（~）,姿を現す、(音量など)を大きくする
upside down,逆さま、ひっくり返して
use up ~,〜を使い果たす
wear out （~）,すり減る、(〜を)すり減らす
